Name 	Vol. 	Place 	Date 	Reference 	Relationships 	Update 	Id
Θεόδωρος 	V6	Arados,Kition	P3B	IKition 2077; PPC Θ 12	child of Ζήνων	2018-03-14 	
’Αετός 	V6	Dan	hellenistic	SEG LIII 1819 a		2018-03-14 	
’Αννιανός 	V6	Abila Lysaniou	166-167	SEG XXXIX 1565, 5	child of Μοκιμος	2018-03-14 	
’Ιανουάριος 	V6	Laodikeia,Rome	imperial	CIL VI 2627		2018-03-14 	
Αα 	V6	Babylon	200-600	CIIP_III 2182; 		2018-03-14 	
Ααβεις 	test	Palmyra-Tadmur	P1B	IGLS_XVII.1 160; Notables p. 278; IGLS_XVII.1 219; IGLS_XVII.1 227; IGLS_XVII.1 238; IGLS_XVII.1 244		2018-03-14 	
Ααδεος 	V6	Doura-Europos	216-216	PDura 101 xliv 8		2018-03-14 	
Ααιλαμεις 	test	Palmyra-Tadmur	139-149	IGLS_XVII.1 159; IGLS_XVII.1 430	child of Αιρανης	2018-03-14 	
Ααιλαμεις 	test	Palmyra-Tadmur	175-225	IGLS_XVII.1 378; 	child of Ζηνόβιος	2018-03-14 	
Ααμερος 	V6	Elousa	P3-4A	SEG XLVI 1875	child of Ουαελος	2018-03-14 	
Ααρων 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 51; 	child of Ἀναστάσιος	2018-03-14 	
Ααρων 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 98; 	child of Βαροχος	2018-03-14 	
Ααφγαθεις 	test	Palmyra-Tadmur	25-75	IGLS_XVII.1 135; 		2018-03-14 	
Ααχεις 	test	Palmyra-Tadmur	P1B	IGLS_XVII.1 241; 		2018-03-14 	
Αβαβα 	V6	Al Yādūdah	imperial	IGLS_XIV_1 254, 2	child of Αλιεαβος	2018-03-14 	
Αβαβα 	V6	Samā as Sirḥān	100-600	IGLS_XXI_5 22; 	child of Σοαιδος	2018-03-14 	
Αβαβαθη 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 153; 	child of Ραουαος	2018-03-14 	
Αβαβαθη 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 166; 	sibling of Αιδη	2018-03-14 	
Αβαβαθη 	V6	Dhakīr	imperial	IGLS_XV_2 500; 		2018-03-14 	
Αβαβαθη 	V6	Burāq	imperial	IGLS_XV_2 536; 	child of Σαλεμος	2018-03-14 	
Αβαβαθη 	V6	Bostra	imperial	IGLS_XIII_2 9509; 	child of Βαγαδης	2018-03-14 	
Αβαβαθη 	V6	Bostra	imperial	IGLS_XIII_2 9510; 	child of Μαρῖνος	2018-03-14 	
Αβαβαιη Σομαιδαθη 	V6	Zorava	imperial	IGLS_XV_1 205; 	child of Αναμος	2018-03-14 	
Αβαβεα 	V6	Zoara	426-441	IPalTertia_Ia 168; 	child of Αυδωανος	2018-03-14 	
Αβαβεος 	V6	Bostra	imperial	IGLS_XIII_2 9511; 		2018-03-14 	
Αβαβη 	V6	Zoara	364-424	IPalTertia_Ia 123; 	child of Αβδαλμιθαβος	2018-03-14 	
Αβαβι 	V6	Khirbat al-Samrā	byzantine	SEG XLVIII 1942.44		2018-03-21 	
Αβαβιλος 	V6	Raphia	325-375	CIIP_III 2564; 		2018-03-14 	
Αβαβιος 	V6	Zoara	433/4-437/8	IPalTertia_Ia 154; 	child of Πέτρος	2018-03-14 	
Αβαβις 	V6	Al Arba‘īn	imperial	Euting_Sinaitische Taf. 4 no. 57; 	child of Σαβῖνος	2018-03-14 	
Αβαβις 	V6	Ḥibrān	imperial	IMSoueida 181, 2; (Djebel_al_Arab p. 133 no. 7.06)		2018-03-14 	
Αβαβος 	V6	Saara	161-169	IGLS_XV_1 54; 		2018-03-14 	
Αβαβος 	V6	Rimea	imperial	IGLS_XV_2 391; 		2018-03-14 	
Αβαβουιος 	V6	Doura-Europos	imperial	SEG VII 607		2018-03-14 	
Αβαβουις 	V6	Palmyra-Tadmur,Doura-Europos	31-31	TEAD 7/8 p. 307 no. 915c; (PAT 1089)	child of Σέλευκος	2018-03-14 	
Αβαβους Εὐχης 	V6	Sidon	imperial	MFOBeyrouth 1 (1906) p. 172 no. 3		2018-03-14 	
Αβαδαβος 	V6	Sachare da-Aouarae	227-227	PDura 26, 1, 7, 29		2018-03-14 	
Αβαδελγος 	V6	Rehoboth	555-555	SEG XXXVIII 1606		2018-03-14 	
Αβαζεος 	test	Palmyra-Tadmur	P2A	IGLS_XVII.1 473; 		2018-03-14 	
Αβαθη 	V6	Adraa	imperial	IGLS_XIV_1 24, 1	child of Μάρκελλος	2018-03-14 	
Αβαιδος 	V6	Doura-Europos	P1A	TEAD 5 p. 199 no. 551, 1; TEAD 5 p. 199 no. 554, 1	child of Ἡρακλείδης	2018-03-14 	
Αβαλας 	V6	Hebron	P6A	SEG VIII 240, 5		2018-03-14 	
Αβαλλας 	V6	Samā as Sirḥān	100-600	IGLS_XXI_5 57; 		2018-03-14 	
Αβανδανης 	V6	Persia--	542-542	PLRE III (-)		2018-03-14 	
Αβαος 	V6	Ṣalkhad	209-217	IMSoueida 211, 5; 	child of Αναμος	2018-03-14 	
Αβαρναιος 	V6	Doura-Europos	imperial	TEAD 5 p. 53 no. 403; TEAD 6 p. 185 no. 704	child of Ἑρμῆς	2018-03-14 	
Αβας 	V6	Doura-Europos	imperial	TEAD 5 p. 165 no. 493c		2018-03-14 	
Αβας 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 66; 		2018-03-14 	
Αβασαφρας 	V6	Burj Qā‘ī	PF6A	IGLS_V 2098 b		2018-03-14 	
Αβασαχρας 	V6	Ḥaqlāʼ	byzantine	IGLS_II 268		2018-03-26 	
Ἀβάσκαντος 	V6	Doura-Europos	250-256	TEAD 9 (1) p. 212 no. 940 I iv 14		2018-03-14 	
Ἀβάσκαντος 	V6	Byblos	P1-2A	SEG LIII 1805, 1		2018-03-14 	
Ἀβάσκαντος 	V6	Jerusalem	-100-100	CIIP_I.1 205; 		2018-03-14 	
Αββαθα 	test	Palmyra-Tadmur	225-225	IGLS_XVII.1 377; 	child of Ραββηλος	2018-03-14 	
Αββαθη 	V6	Adraa	imperial	IGLS_XIV_1 25, 1	child of Θεόφιλος	2018-03-14 	
Αββαιος 	V6	Gerasa	100-300	IGerasa 186; 		2018-03-14 	
Αββαλμαιος 	V6	Doura-Europos	240-240	PDura 107 i 23		2018-03-14 	
Αββαλμαιος 	V6	Doura-Europos	240-240	PDura 107 ii 18		2018-03-14 	
Αββανος 	V6	Wādī Ḥajjāj	imperial	SEG XXXI 1423; 		2018-03-14 	
Αββαρραμανος 	V6	Doura-Europos	imperial	TEAD 5 p. 146 no. 454, 22		2018-03-14 	
Αββας 	V6	Batnai-Markopolis-	249-249	PEuphr 6, 1, 8, 32; PEuphr 7, 26	child of Γορας	2018-03-14 	
Αββας 	V6	Sporakome	159-160	PDura 24, 3, 24	child of Ραγηαδαδος	2018-03-14 	
Αββας 	V6	Doura-Europos	198-198	PDura 98 ii 29		2018-03-14 	
Αββας 	V6	Nessana--	P6A	PNess 126, 2		2018-03-14 	
Αββας 	V6	Palmyra-Tadmur	imperial	IGLS_XVII.1 514; 		2018-03-14 	
Αββας 	V6	Doura-Europos	imperial	SEG VII 481, 2	child of Βοαλος	2018-03-14 	
Αββας 	V6	Doura-Europos	imperial	TEAD 5 p. 20 no. 386, 2		2018-03-14 	
Αββας 	V6	Gaza	500-800	CIIP_III 2527; 		2018-03-14 	
Αββας 	V6	Ainauatha	byzantine	IMoab 374; 	child of Γαβαλος	2018-03-14 	
Αββας 	V6	Doura-Europos	201-201	PDura 100 xlii 9; PDura 101 xlii 4	child of Ζεβιδας	2018-03-14 	
Αββας 	V6	Doura-Europos	196-196	PDura 101 xi 20		2018-03-14 	
Αββας Εὐτύχης 	V6	Mesopotamia,Seleukeia	166-166	AEp 1896, no. 21		2018-03-14 	
Αββασοβ 	V6	Kome Seron	618-618	SEG LI 2062, 3		2018-03-22 	
Αββαυις 	V6	Doura-Europos	PM1A	SEG VII 372, 7		2018-03-14 	
Αββεδας 	V6	Doura-Europos	204-204	PDura 98 i 20	child of Νίκαιος	2018-03-14 	
Αββειβας 	V6	Sachare da-Aouarae	227-227	PDura 26, 2, 9	child of Βωζανος	2018-03-14 	
Αββειβας 	V6	Doura-Europos	P1-2A	SEG II 771, 1; &SEG VII 800		2018-03-14 	
Αββεος 	V6	Karrhai-	P3A	RIU 1073, 1		2018-03-14 	
Αββεος 	V6	Elousa	P3-4A	SEG XLVI 1874		2018-03-14 	
Αββεσοβεος 	V6	Madaba	586-586	SEG LVI 1939, 6		2018-03-30 	
Αββης 	test	Palmyra-Tadmur	128-128	IGLS_XVII.1 95; 	child of Βαγεσος	2018-03-14 	
Αββι 	V6	Ioppe	200-600	CIIP_III 2222; 		2018-03-14 	
Αββιβας 	V6	Genneon--,Iulia Concordia-Concordia Sagittaria-	P4A	IG XIV 2327; SEG XXX 1149		2018-03-14 	
Αββιβας 	V6	Diokleion M.	244-244	IGLS_IV 1527b, 2; IGLS_IV 1527c	child of Καλλίνικος	2018-03-14 	
Αββιβας 	V6	Antioch	imperial	IGLS_III_1 945, 2		2018-03-16 	
Αββιβιανος 	V6	Doura-Europos	240-240	PDura 107 ii 3		2018-03-14 	
Αββιβος 	V6	Androna-Andarna	P6A	SEG LIII 1788		2018-03-14 	
Αββιβος 	V6	Zoara	435-435	IPalTertia_Ia 143; 		2018-03-14 	
Αββιβος 	V6	Gerasa	259-259	IGerasa 74, 4; 		2018-03-14 	
Αββιμης 	V6	Gerra	imperial	IGLS_VI 2981		2018-03-14 	
Αββις 	V6	Doura-Europos	207-207	PDura 98 xi 18; PDura 102 viii 9	child of Μαρωνας	2018-03-14 	
Αββις 	V6	Doura-Europos	212-212	PDura 102 vi 9	child of Ογελος	2018-03-14 	
Αββομαρης 	V6	Ioppe	200-600	CIIP_III 2230; 	child of Αββωνες	2018-03-14 	
Αββομαρι 	V6	Babylon	200-600	CIIP_III 2182; 	child of Αα	2018-03-14 	
Αββος 	V6	Nessana--	PS6A	PNess 37, 44		2018-03-14 	
Αββος 	V6	Nessana--	P6A	PNess 102, 3		2018-03-14 	
Αββος 	V6	Nessana--	P6A	PNess 143, 2, 4	child of Θωαμος	2018-03-14 	
Αββος 	V6	Adraa	imperial	IGLS_XIV_1 139, 3		2018-03-14 	
Αββος 	V6	Nessana--	541-541	Nessana I p. 181 no. 114, 5		2018-03-14 	
Αββος 	V6	Doura-Europos	imperial	TEAD 5 p. 148 no. 460, 4		2018-03-14 	
Αββος 	V6	Bostra	imperial	IGLS_XIII_1 9356, 3; 		2018-03-14 	
Αββος 	V6	Bostra	imperial	IGLS_XIII_1 9380; 		2018-03-14 	
Αββοσοβος 	V6	Hierichous-Jericho-	PM6A	SEG XL 1479, 3; (CBCMPIPT 16)	=? Αββοσουββος	2018-03-14 	
Αββοσουββος 	V6	Hierichous-Jericho-	570-570	SEG XL 1478, 4; (CBCMPIPT 16)		2018-03-14 	
Αββουαλμοζεραος 	V6	Nessana--	P6A	PNess 31, 40		2018-03-14 	
Αββουεις 	V6	Doura-Europos	134-134	PDura 23, 4		2018-03-14 	
Αββουη 	V6	Doura-Europos	imperial	TEAD 7/8 p. 174 no. 879b, 2		2018-03-14 	
Αββουις 	V6	Doura-Europos	254-254	PDura 32 verso 2		2018-03-14 	
Αββουις 	V6	Doura-Europos	imperial	TEAD 5 p. 122 no. 426, 1	child of Λυσανίας	2018-03-14 	
Αββουιωσηφος 	V6	Nessana--	P6A	PNess 31, 33	child of Δοβαβος	2018-03-14 	
Αββυλας 	V6	Admanna,Doura-Europos	214-225	PDura 12 verso x 17	child of Βάσσος	2018-03-14 	
Αββωνες 	V6	Ioppe	200-600	CIIP_III 2230; 	other relative of Τασεληας	2018-03-14 	
Αββως 	V6	Antiocheia-Nisibis-Nusaybin	P4_5A	Soz +HE vi 33		2018-03-14 	
Αββωσαμος 	V6	Sin	211-211	IGLS_V 2177		2018-03-14 	
Αββωσας 	V6	Doura-Europos	216-216	PDura 100 xx 5; PDura 101 xxv 15		2018-03-14 	
Αββωσας 	V6	Doura-Europos	215-215	PDura 100 xxvi 1		2018-03-14 	
Αββωσας 	V6	Maraotaton--,Ticinum-Pavia-	P5A	IG XIV 2290; 		2018-03-14 	
Αββωσας 	V6	Syria,Rome	P2-3A	CIL VI 32624 d, 17		2018-03-14 	
Αββωσας 	V6	Heliopolis	P2-3A	IMnBeyrouth 349, 1		2018-03-14 	
Αββωσας 	V6	Doura-Europos	207-207	PDura 101 xiii 15		2018-03-14 	
Αββωσας 	V6	Doura-Europos	216-216	PDura 101 xxi 4		2018-03-14 	
Αββωσας 	V6	Doura-Europos	205-205	PDura 101 xxiii 4		2018-03-14 	
Αββωσης 	V6	Telmenissos-Maratomyrton	P5-6A	ZPE 190 (2014) p. 172; BE 2014, no. 505		2018-03-14 	
Αββωσος 	V6	Olbanoi-Ḥalbān	byzantine	IGLS_IV 1895		2018-03-14 	
Αββωσος 	V6	Amathe/Epiphaneia	344-344	IGLS_IV 1908		2018-03-14 	
Αββωσος 	V6	Emesa	168-168	IGLS_V 2301, 3		2018-03-14 	
Αβγαρ Ἰσίων 	test		108-109	IGLS_XXI_2 118; 		2018-03-14 	
Αβγαρ Ἰσίων 	test		108-109	IGLS_XXI_2 118; 		2018-03-14 	
Αβγαρ Εισιων 	test	Madaba	108-109	IGLS_XXI_2 118; &Syria 35 (1958) pp. 243-6	child of Μονοαθος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	223-225	PDura 67 iii 18	child of Θεμαρσας	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 98 iii 2	child of Ιαραιος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	217-217	PDura 98 v 29	=? Αβγαρος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	199-201	PDura 98 ix 5; PDura 100 xxvii 2	child of Θεμης	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	214-214	PDura 98 x 5		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	217-217	PDura 100 xvi 2; PDura 101 xxxi 15	child of Θεμαρσας,=? Αβγαρος	2018-03-14 	
Αβγαρος 	V6	Adraa	imperial	IGLS_XIV_1 25a, 1	child of Σεουῆρος	2018-03-14 	
Αβγαρος 	V6	Dathema-‘Ataman	imperial	IGLS_XIV_1 248		2018-03-14 	
Αβγαρος 	V6	Dā‘il	305-306	IGLS_XIV_1 351, 3		2018-03-14 	
Αβγαρος 	V6	Sarisa-Quneitra	imperial	ZDPV 36 (1913) p. 252 no. 6	child of Θαουδος	2018-03-14 	
Αβγαρος 	V6	Edessa	243-243	Old_Syriac_Inscriptions P1, 6, v 3; ; (PDura 28)		2018-03-14 	
Αβγαρος 	V6	‘Urmān	305-306	SEG VII 1183, 1		2018-03-14 	
Αβγαρος 	V6	Edessa	-120--68	RE (1)		2018-03-14 	
Αβγαρος 	V6	Edessa	PF1B	RE (2)	child of Αβγαρος	2018-03-14 	
Αβγαρος 	V6	Edessa	-29--26	RE (3)		2018-03-14 	
Αβγαρος 	V6	Edessa	-26--23	RE (4)		2018-03-14 	
Αβγαρος 	V6	Edessa	-20-50	RE (5); PIR2 A 5		2018-03-14 	
Αβγαρος 	V6	Edessa	71-91	RE (6)		2018-03-14 	
Αβγαρος 	V6	Edessa	109-116	RE (7); PIR2 A 6		2018-03-14 	
Αβγαρος 	V6	Edessa	165-167	RE (8); PIR2 A 7		2018-03-14 	
Αβγαρος 	V6	Edessa	160-216	RE (9); PIR2 A 8	child of Μαννος	2018-03-14 	
Αβγαρος Φραάτης 	V6	Edessa	242-244	RE (11); PIR2 A 11		2018-03-14 	
Αβγαρος 	V6	Abila Lysaniou	PF1A	SEG LVI 1872, 3; (Hajjar 165)		2018-03-14 	
Αβγαρος 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 383; 		2018-03-14 	
Αβγαρος 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 423; 		2018-03-14 	
Αβγαρος 	V6	Umm al Jimāl	100-600	IGLS_XXI_5 530; 		2018-03-14 	
Αβγαρος 	V6	Ṣabḥa	100-600	IGLS_XXI_5 626; 	child of Αλεσος	2018-03-14 	
Αβγαρος 	V6	Ṣabḥa	100-600	IGLS_XXI_5 635; 		2018-03-14 	
Αβγαρος 	V6	Ṣabḥa	100-600	IGLS_XXI_5 684; 		2018-03-14 	
Αβγαρος 	V6	Zorava	imperial	IGLS_XV_1 202; 		2018-03-14 	
Αβγαρος 	V6	Damatha	imperial	IGLS_XV_2 298; ; IGLS_XV_2 299	child of Χασετος	2018-03-14 	
Αβγαρος 	V6	Damatha	imperial	IGLS_XV_2 308; 	child of Αυσος	2018-03-14 	
Αβγαρος 	V6	Birtha	226-227	IGLS_XV_2 458; 		2018-03-14 	
Αβγαρος 	V6	Bostra	imperial	IGLS_XIII_2 9728; 		2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	75-125	IGLS_XVII.1 250; IGLS_XVII.1 248; IGLS_XVII.1 249; IGLS_XVII.1 251; IGLS_XVII.1 255; IGLS_XVII.1 256; IGLS_XVII.1 313; IGLS_XVII_1 271		2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	159-159	IGLS_XVII.1 251; 	child of Ιαραιος	2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	141-141	IGLS_XVII.1 201; 		2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	135-135	IGLS_XVII.1 209; 	child of Αιρανης	2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	112-112	IGLS_XVII.1 242; 		2018-03-14 	
Αβγαρος 	test	Palmyra-Tadmur	imperial	IGLS_XVII.1 271; 		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	208-208	PDura 100 xliii [9]; PDura 101 xliii 7	child of Ιεραιος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	214-214	PDura 100 xxx 12	=? Αβγαρος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 100 xxxii 9; PDura 101 xxxii 20		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 100 xxxiv 24; PDura 101 xxxiv 22		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	195-195	PDura 100 xxxvi 18		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 100 xxxvi 35		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 100 xxxvi 39		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	195-195	PDura 100 xxxviii 26		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	203-203	PDura 100 xlii 24; PDura 101 xlii 15		2018-03-14 	
Αβγαρος 	V6	Doura-Europos	201-201	PDura 101 i 7	=? Αβγαρος	2018-03-14 	
Αβγαρος 	V6	Doura-Europos	205-205	PDura 101 xxviii 8		2018-03-14 	
Αβγαρος 	V6	Jathūm	P3A	SEG XVI 819, 15; SEG XXXV 1576		2018-03-14 	
Αβγαρος 	V6	Wādī Rājil	byzantine	SEG XXXII 1543		2018-03-14 	
Αβγαρος 	V6	Khirbat Sirās	P4-5A	SEG L 1533		2018-03-22 	
Αβγαρος 	V6	Petra	164-168	SEG LII 1731, 3	child of Φίλιππος	2018-03-26 	
Αβγαρος 	V6	‘Awās	387-388	ISyrie 2046, 3; (AAES_III_A 693)		2018-04-12 	
Αβγαρος 	test	Palmyra-Tadmur	84-84	IGLS_XVII.1 19; 	child of Πάτροκλος Αστουργας	2018-03-14 	
Αβγας 	V6	Doura-Europos	imperial	TEAD 5 p. 149 no. 461		2018-03-14 	
Αβγελλος 	V6	Doura-Europos	214-214	PDura 101 xxix 30	child of Βάσσος	2018-03-14 	
Αβδ 	V6	Marisa	P3-2B	SEG XXXIV 1482		2018-03-14 	
Αβδααθης 	V6	Doura-Europos	PM1A	SEG VII 443c		2018-03-14 	
Αβδααθης 	V6	Doura-Europos	PM1A	SEG VII 443d	child of Ιαβσυμσος	2018-03-14 	
Αβδαασθωρης 	V6	Palmyra-Tadmur	99-99	IGLS_XVII.1 512; 	child of Νουρβηλος	2018-03-14 	
Αβδαασθωρης 	test	Palmyra-Tadmur	imperial	IGLS_XVII.1 254; 	child of Νεσας	2018-03-14 	
Αβδαγος Ἀλέξανδρος 	V6	Gaba Philippou--	imperial	SEG XXXVIII 1586		2018-03-14 	
Αβδαδος 	V6	Doura-Europos	P1-2A	SEG VII 710, 1		2018-03-14 	
Αβδαδουσαρης 	V6	Asicha-Umm el-'Osij	byzantine	IGLS_XIV.2 543, 2		2018-03-14 	
Αβδαιος 	V6	Doura-Europos	214-214	PDura 98 xi 31; PDura 102 viii 20		2018-03-14 	
Αβδαιος 	V6	Kapitolias--	180-192	Mittmann_Beiträge 169 no. 6, 3; (AE 1935, 82); (SEG VIII 91)		2018-03-14 	
Αβδαιος 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 56; 		2018-03-14 	
Αβδαιος 	V6	Gerasa,Gerra	P2B	IG XII (4) 549; 		2018-03-14 	
Αβδαιος 	test	Palmyra-Tadmur	175-225	IGLS_XVII.1 74; 		2018-03-14 	
Αβδαιος 	V6	Doura-Europos	201-201	PDura 100 xlii 12; PDura 101 xlii 7	child of Βαραιος	2018-03-14 	
Αβδαιος 	V6	Qal‘at al Bahrain	PS2B	SEG XL 1519, 2; (SEG LII 1739)		2018-03-26 	
Αβδαιος 	V6	Kafr--	P2-3A	SEG LVI 1923		2018-03-30 	
Αβδακος 	V6	Adraa	imperial	IGLS_XIII_2 9746; 		2018-03-14 	
Αβδαλααρος 	V6	Adraa,	-31-310	IGLS_XXI_4 12; 		2018-03-14 	
Αβδαλααρος 	V6	Adraa	imperial	IGLS_XXI_4 12; 	child of Αναμος	2018-03-14 	
Αβδαλααρος 	test		-31-310	IGLS_XXI_4 12; 		2018-03-14 	
Αβδαλας 	V6	Eutimia-al-Ḥārrah	byzantine	IGLS_XIV.2 493, 1		2018-03-14 	
Αβδαλας 	V6	Umm al Jimāl	imperial	IGLS_XXI_5 322; 		2018-03-14 	
Αβδαλας 	V6	Umm al Qiṭṭayn	257-258	IGLS_XXI_5 699; 	child of Αβδος	2018-03-14 	
Αβδαλας 	V6	Zorava	byzantine	IGLS_XV_1 190; 		2018-03-14 	
Αβδαλας 	V6	Adraa	imperial	IGLS_XIII_2 9725; 		2018-03-14 	
Αβδαλγη 	test	Madaba	179-180	IGLS_XXI_2 120; 	child of Μοσαλεμος	2018-03-14 	
Αβδαλγης 	V6	Nessana--	566-567	PNess 23, 1, 3		2018-03-14 	
Αβδαλγης 	V6	Nessana--	P6A	PNess 31, 25		2018-03-14 	
Αβδαλγης 	V6	Nessana--	PF7A	PNess 79, 24		2018-03-14 	
Αβδαλγης 	V6	Nessana--	P6A	PNess 122, 4		2018-03-14 	
Αβδαλγης 	V6	Adraa	imperial	IGLS_XIV_1 185, 2		2018-03-14 	
Αβδαλγης 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 26; 		2018-03-14 	
Αβδαλγης 	V6	Bostra	imperial	IGLS_XIII_2 9523; 		2018-03-14 	
Αβδαλγης 	V6	Bostra	imperial	IGLS_XIII_2 9546; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	284/5-354/5	IPalTertia_Ia 12; 	child of Βαγγας	2018-03-14 	
Αβδαλγης 	V6	Zoara	372-372	IPalTertia_Ia 32; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	386-387	IPalTertia_Ia 53; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	310-395	IPalTertia_Ia 75; 	child of Αβδοαρθας	2018-03-14 	
Αβδαλγης 	V6	Zoara	404-404	IPalTertia_Ia 82; 	child of Κρήσκης	2018-03-14 	
Αβδαλγης 	V6	Zoara	396-405	IPalTertia_Ia 90; 	child of Θεμος	2018-03-14 	
Αβδαλγης 	V6	Zoara	463-463	IPalTertia_Ia 212; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	472-472	IPalTertia_Ia 221; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	351-400	IPalTertia_Ia 270; 		2018-03-14 	
Αβδαλγης 	V6	Zoara	363-363	IPalTertia_Ib 51; 		2018-03-14 	
Αβδαλγης 	V6	Eboda	P3-4A	INegev 2; (SEG XXVIII 1374)		2018-03-14 	
Αβδαλγης 	V6	Sobata--	588-588	SEG XXXI 1433, 3; (INegev 55)		2018-03-14 	
Αβδαλγης 	V6	Elousa	P3-4A	SEG XLVI 1823		2018-03-14 	
Αβδαλγης 	V6	Khirbat al-Samrā	P2-4A	SEG XLVIII 1942.11		2018-03-21 	
Αβδαλγης 	V6	Bostra	P2-3A	SEG LII 1713		2018-03-26 	
Αβδαλγης 	V6	Ṣalkhad	P2-4A	SEG LVI 1935	child of Αυσος	2018-03-30 	
Αβδαλγης 	V6	Zoara	460-460	SEG LXII 1697, 5		2018-04-09 	
Αβδαλγης 	V6	Barad	imperial	AAES_III_A 56		2018-04-10 	
Αβδαλεως 	V6	Antiocheia-Nisibis-Nusaybin	P4_5A	Soz +HE vi 33		2018-03-14 	
Αβδαλλα 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 42; 		2018-03-14 	
Αβδαλλαθας 	V6	Gerasa	imperial	SEG XXXVII 1550; &SEG XLV 1998		2018-03-14 	
Αβδαλλαθος 	V6	Doura-Europos	180-180	PDura 17a, 2		2018-03-14 	
Αβδαλλαθος 	test		144-144	IGLS_XVII.1 127; 		2018-03-14 	
Αβδαλλας 	V6	Nessana--	PS6A	PNess 37, 25		2018-03-14 	
Αβδαλλας 	V6	Laodikeia	byzantine	IGLS_IV 1267		2018-03-14 	
Αβδαλλας 	V6	Qayṣamā	100-600	MSM II 67; 		2018-03-14 	
Αβδαλλας 	V6	Wādī Ḥajjāj	byzantine	IWadi_Haggag 108; 		2018-03-14 	
Αβδαλλας 	V6	Ṣabḥa	100-600	IGLS_XXI_5 636; 	child of Βάσσος	2018-03-14 	
Αβδαλλας 	V6	Bostra	imperial	IGLS_XIII_2 9651; 	child of Αιδαανος	2018-03-14 	
Αβδαλλας 	V6	Magen--	P5_6A	SEG XXXV 1552, 5; ; (CBCMPIPT 139)		2018-03-14 	
Αβδαλλας 	test	Madaba	148-148	IGLS_XXI_2 119; 	child of Αβδαλλας	2018-03-14 	
Αβδαλλας 	V6	Kastron Zadakathon-Ṣadaqa	525-525	PPetra IV 39, 82		2018-03-14 	
Αβδαλλας 	V6	Eboda	byzantine	INegev 39, 3; (SEG XXVIII 1402)		2018-03-14 	
Αβδαλλας 	V6	Kastron Mephaa-Umm al Rasas	587-587	SEG XXXVII 1597, 4		2018-03-14 	
Αβδαλλας 	V6	Amman-Philadelphia	P6A	SEG LX 1758, 5		2018-04-04 	
Αβδαλλγης 	V6	Adraa	imperial	IGLS_XIV_1 100, 3		2018-03-14 	
Αβδαλμιθαβος 	V6	Zoara	424-424	IPalTertia_Ia 123; 		2018-03-14 	
Αβδαλμιθαβος 	V6	Petra	351-400	IPalTertia_Ib 57; 		2018-03-14 	
Αβδαλμιλχος 	V6	Khirbat al-Samrā	P2-4A	SEG XLVIII 1942.7	child of Μοειθος	2018-03-21 	
Ἀβδαλώνυμος 	V6	Sidon	PS4B	RE (-); Berve 1		2018-03-14 	
Αβδαμμαλεχος 	V6	Heliopolis	imperial	IGLS_VI 2883, 3; 	child of Ανναια	2018-03-14 	
Αβδαμοχος 	V6	Petra	351-400	IPalTertia_Ia 279; 		2018-03-14 	
Αβδανος 	V6	Rabbath Moab-Areopolis	imperial	IMoab 215; 		2018-03-14 	
Αβδανχα 	V6	Bostra	353-367	IGLS_XIII_2 3474; 	child of Σαλουῗνα	2018-03-14 	
