,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
0,???????? ,V6,"Arados,Kition",P3B,IKition 2077; PPC ? 12,child of ?????,???????? ,1258
1,’????? ,V6,Dan,hellenistic,SEG LIII 1819 a,,????? ,576
2,’???????? ,V6,Abila Lysaniou,166-167,"SEG XXXIX 1565, 5",child of ???????,???????? ,432
3,’?????????? ,V6,"Laodikeia,Rome",imperial,CIL VI 2627,,?????????? ,912
4,?? ,V6,Babylon,200-600,CIIP_III 2182; ,,?? ,2
5,?????? ,test,Palmyra-Tadmur,P1B,IGLS_XVII.1 160; Notables p. 278; IGLS_XVII.1 219; IGLS_XVII.1 227; IGLS_XVII.1 238; IGLS_XVII.1 244,,?????? ,219
6,?????? ,V6,Doura-Europos,216-216,PDura 101 xliv 8,,?????? ,281
7,????????? ,test,Palmyra-Tadmur,139-149,IGLS_XVII.1 159; IGLS_XVII.1 430,child of ???????,????????? ,298
9,??????? ,V6,Elousa,P3-4A,SEG XLVI 1875,child of ???????,??????? ,417
10,????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 51; ,child of ??????????,????? ,952
12,????????? ,test,Palmyra-Tadmur,25-75,IGLS_XVII.1 135; ,,????????? ,730
13,?????? ,test,Palmyra-Tadmur,P1B,IGLS_XVII.1 241; ,,?????? ,817
14,????? ,V6,Al Y?d?dah,imperial,"IGLS_XIV_1 254, 2",child of ????????,????? ,7
16,??????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 153; ,child of ???????,??????? ,24
22,??????? ????????? ,V6,Zorava,imperial,IGLS_XV_1 205; ,child of ??????,??????? ????????? ,368
23,?????? ,V6,Zoara,426-441,IPalTertia_Ia 168; ,child of ????????,?????? ,12
24,??????? ,V6,Bostra,imperial,IGLS_XIII_2 9511; ,,??????? ,281
25,????? ,V6,Zoara,364-424,IPalTertia_Ia 123; ,child of ????????????,????? ,14
26,????? ,V6,Khirbat al-Samr?,byzantine,SEG XLVIII 1942.44,,????? ,16
27,???????? ,V6,Raphia,325-375,CIIP_III 2564; ,,???????? ,316
28,??????? ,V6,Zoara,433/4-437/8,IPalTertia_Ia 154; ,child of ??????,??????? ,286
29,?????? ,V6,Al Arba‘?n,imperial,Euting_Sinaitische Taf. 4 no. 57; ,child of ???????,?????? ,216
31,?????? ,V6,Saara,161-169,IGLS_XV_1 54; ,,?????? ,276
33,????????? ,V6,Doura-Europos,imperial,SEG VII 607,,????????? ,756
34,???????? ,V6,"Palmyra-Tadmur,Doura-Europos",31-31,TEAD 7/8 p. 307 no. 915c; (PAT 1089),child of ????????,???????? ,686
35,??????? ????? ,V6,Sidon,imperial,MFOBeyrouth 1 (1906) p. 172 no. 3,,??????? ????? ,1889
36,???????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 1, 7, 29",,???????? ,281
37,????????? ,V6,Rehoboth,555-555,SEG XXXVIII 1606,,????????? ,316
38,??????? ,test,Palmyra-Tadmur,P2A,IGLS_XVII.1 473; ,,??????? ,286
39,????? ,V6,Adraa,imperial,"IGLS_XIV_1 24, 1",child of ?????????,????? ,21
40,??????? ,V6,Doura-Europos,P1A,"TEAD 5 p. 199 no. 551, 1; TEAD 5 p. 199 no. 554, 1",child of ??????????,??????? ,288
41,?????? ,V6,Hebron,P6A,"SEG VIII 240, 5",,?????? ,235
42,??????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 57; ,,??????? ,265
43,????????? ,V6,Persia--,542-542,PLRE III (-),,????????? ,317
44,????? ,V6,?alkhad,209-217,"IMSoueida 211, 5; ",child of ??????,????? ,274
45,????????? ,V6,Doura-Europos,imperial,TEAD 5 p. 53 no. 403; TEAD 6 p. 185 no. 704,child of ?????,????????? ,435
46,???? ,V6,Doura-Europos,imperial,TEAD 5 p. 165 no. 493c,,???? ,204
48,????????? ,V6,Burj Q?‘?,PF6A,IGLS_V 2098 b,,????????? ,1006
49,????????? ,V6,?aql??,byzantine,IGLS_II 268,,????????? ,1106
50,?????????? ,V6,Doura-Europos,250-256,TEAD 9 (1) p. 212 no. 940 I iv 14,,?????????? ,845
53,?????? ,test,Palmyra-Tadmur,225-225,IGLS_XVII.1 377; ,child of ????????,?????? ,16
54,?????? ,V6,Adraa,imperial,"IGLS_XIV_1 25, 1",child of ????????,?????? ,23
55,??????? ,V6,Gerasa,100-300,IGerasa 186; ,,??????? ,286
56,?????????? ,V6,Doura-Europos,240-240,PDura 107 i 23,,?????????? ,357
58,??????? ,V6,W?d? ?ajj?j,imperial,SEG XXXI 1423; ,,??????? ,326
59,???????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 22",,???????????? ,568
60,????? ,V6,Batnai-Markopolis-,249-249,"PEuphr 6, 1, 8, 32; PEuphr 7, 26",child of ?????,????? ,206
71,????? ??????? ,V6,"Mesopotamia,Seleukeia",166-166,"AEp 1896, no. 21",,????? ??????? ,2119
72,??????? ,V6,Kome Seron,618-618,"SEG LI 2062, 3",,??????? ,278
73,??????? ,V6,Doura-Europos,PM1A,"SEG VII 372, 7",,??????? ,616
74,??????? ,V6,Doura-Europos,204-204,PDura 98 i 20,child of ???????,??????? ,215
75,???????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 2, 9",child of ???????,???????? ,223
77,?????? ,V6,Karrhai-,P3A,"RIU 1073, 1",,?????? ,280
79,?????????? ,V6,Madaba,586-586,"SEG LVI 1939, 6",,?????????? ,557
80,????? ,test,Palmyra-Tadmur,128-128,IGLS_XVII.1 95; ,child of ???????,????? ,213
81,???? ,V6,Ioppe,200-600,CIIP_III 2222; ,,???? ,15
82,??????? ,V6,"Genneon--,Iulia Concordia-Concordia Sagittaria-",P4A,IG XIV 2327; SEG XXX 1149,,??????? ,218
85,?????????? ,V6,Doura-Europos,240-240,PDura 107 ii 3,,?????????? ,348
86,??????? ,V6,Androna-Andarna,P6A,SEG LIII 1788,,??????? ,287
89,??????? ,V6,Gerra,imperial,IGLS_VI 2981,,??????? ,263
90,????? ,V6,Doura-Europos,207-207,PDura 98 xi 18; PDura 102 viii 9,child of ???????,????? ,215
92,????????? ,V6,Ioppe,200-600,CIIP_III 2230; ,child of ???????,????????? ,424
93,???????? ,V6,Babylon,200-600,CIIP_III 2182; ,child of ??,???????? ,226
94,????? ,V6,Nessana--,PS6A,"PNess 37, 44",,????? ,275
102,????????? ,V6,Hierichous-Jericho-,PM6A,"SEG XL 1479, 3; (CBCMPIPT 16)",=? ???????????,????????? ,617
103,??????????? ,V6,Hierichous-Jericho-,570-570,"SEG XL 1478, 4; (CBCMPIPT 16)",,??????????? ,1019
104,??????????????? ,V6,Nessana--,P6A,"PNess 31, 40",,??????????????? ,999
105,???????? ,V6,Doura-Europos,134-134,"PDura 23, 4",,???????? ,690
106,?????? ,V6,Doura-Europos,imperial,"TEAD 7/8 p. 174 no. 879b, 2",,?????? ,483
107,??????? ,V6,Doura-Europos,254-254,PDura 32 verso 2,,??????? ,685
109,???????????? ,V6,Nessana--,P6A,"PNess 31, 33",child of ???????,???????????? ,2263
110,??????? ,V6,"Admanna,Doura-Europos",214-225,PDura 12 verso x 17,child of ??????,??????? ,636
111,??????? ,V6,Ioppe,200-600,CIIP_III 2230; ,other relative of ????????,??????? ,1060
112,????? ,V6,Antiocheia-Nisibis-Nusaybin,P4_5A,Soz +HE vi 33,,????? ,1005
113,????????? ,V6,Sin,211-211,IGLS_V 2177,,????????? ,1316
114,??????? ,V6,Doura-Europos,216-216,PDura 100 xx 5; PDura 101 xxv 15,,??????? ,1206
122,??????? ,V6,Telmenissos-Maratomyrton,P5-6A,"ZPE 190 (2014) p. 172; BE 2014, no. 505",,??????? ,1213
123,??????? ,V6,Olbanoi-?alb?n,byzantine,IGLS_IV 1895,,??????? ,1275
126,????? ????? ,test,,108-109,IGLS_XXI_2 118; ,,????? ????? ,1177
128,????? ?????? ,test,Madaba,108-109,IGLS_XXI_2 118; &Syria 35 (1958) pp. 243-6,child of ????????,????? ?????? ,1182
129,??????? ,V6,Doura-Europos,223-225,PDura 67 iii 18,child of ????????,??????? ,377
150,??????? ??????? ,V6,Edessa,242-244,RE (11); PIR2 A 11,,??????? ??????? ,1487
186,????? ,V6,Doura-Europos,imperial,TEAD 5 p. 149 no. 461,,????? ,207
187,???????? ,V6,Doura-Europos,214-214,PDura 101 xxix 30,child of ??????,???????? ,341
188,??? ,V6,Marisa,P3-2B,SEG XXXIV 1482,,??? ,7
189,???????? ,V6,Doura-Europos,PM1A,SEG VII 443c,,???????? ,226
191,??????????? ,V6,Palmyra-Tadmur,99-99,IGLS_XVII.1 512; ,child of ?????????,??????????? ,1326
193,??????? ?????????? ,V6,Gaba Philippou--,imperial,SEG XXXVIII 1586,,??????? ?????????? ,802
194,??????? ,V6,Doura-Europos,P1-2A,"SEG VII 710, 1",,??????? ,282
195,???????????? ,V6,Asicha-Umm el-'Osij,byzantine,"IGLS_XIV.2 543, 2",,???????????? ,991
196,??????? ,V6,Doura-Europos,214-214,PDura 98 xi 31; PDura 102 viii 20,,??????? ,288
204,??????? ,V6,Adraa,imperial,IGLS_XIII_2 9746; ,,??????? ,298
205,?????????? ,V6,"Adraa,",-31-310,IGLS_XXI_4 12; ,,?????????? ,410
208,??????? ,V6,Eutimia-al-??rrah,byzantine,"IGLS_XIV.2 493, 1",,??????? ,239
213,??????? ,test,Madaba,179-180,IGLS_XXI_2 120; ,child of ?????????,??????? ,49
214,???????? ,V6,Nessana--,566-567,"PNess 23, 1, 3",,???????? ,249
240,???????? ,V6,Antiocheia-Nisibis-Nusaybin,P4_5A,Soz +HE vi 33,,???????? ,1043
241,??????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 42; ,,??????? ,69
242,?????????? ,V6,Gerasa,imperial,SEG XXXVII 1550; &SEG XLV 1998,,?????????? ,279
243,?????????? ,V6,Doura-Europos,180-180,"PDura 17a, 2",,?????????? ,348
245,???????? ,V6,Nessana--,PS6A,"PNess 37, 25",,???????? ,269
257,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 100, 3",,????????? ,279
258,???????????? ,V6,Zoara,424-424,IPalTertia_Ia 123; ,,???????????? ,370
260,??????????? ,V6,Khirbat al-Samr?,P2-4A,SEG XLVIII 1942.7,child of ???????,??????????? ,988
261,??????????? ,V6,Sidon,PS4B,RE (-); Berve 1,,??????????? ,1598
262,???????????? ,V6,Heliopolis,imperial,"IGLS_VI 2883, 3; ",child of ??????,???????????? ,994
263,????????? ,V6,Petra,351-400,IPalTertia_Ia 279; ,,????????? ,988
264,??????? ,V6,Rabbath Moab-Areopolis,imperial,IMoab 215; ,,??????? ,328
265,??????? ,V6,Bostra,353-367,IGLS_XIII_2 3474; ,child of ????????,??????? ,659
266,????????? ,V6,Zoara,100-300,IPalTertia_Ib 50; ,,????????? ,614
268,???????? ,V6,Palmyra-Tadmur,175-225,IGLS_XVII.1 478; ,,???????? ,509
269,????? ,V6,Doura-Europos,P3A,PDura 47 ii 4,,????? ,208
283,?????????? ,V6,Emesa,imperial,IGLS_V 2321,,?????????? ,719
284,????????? ,V6,Eboda,P3-4A,"INegev 7, 5; (SEG XXVIII 1376)",,????????? ,493
285,???????? ,V6,Doura-Europos,193-193,PDura 100 xxxvi 11,child of ???????,???????? ,1117
286,?????????? ,V6,Doura-Europos,P3A,PDura 47 ii 3,,?????????? ,1118
287,??????? ,V6,Sachare da-Aouarae,227-227,"PDura 26, 17",,??????? ,52
288,??????? ,V6,Nessana--,PF7A,"PNess 79, 66",,??????? ,243
289,??????? ,V6,"Askalon-,",P3B,Polemon 5 (1952-3) p. 18 no. 349; ; BCH 93 (1969) p. 693 no. 3,,??????? ,52
290,??????????? ,V6,Pella-Apameia,412-413,"IGLS_IV 1739bis, 3",,??????????? ,963
291,?????? ,V6,Doura-Europos,224-224,PDura 104 a 7,,?????? ,282
292,??????? ,V6,Rehoboth,byzantine,IPalTertia_west 101,,??????? ,317
293,??????? ,V6,Doura-Europos,P3A,PDura 50 recto 2,,??????? ,246
294,????????? ,V6,"Tyre,Hammon-Umm al ‘Amad",hellenistic,FroehnerInscrLouvre 145,,????????? ,365
296,??????? ,V6,Adraa,imperial,IGLS_XIII_2 9723; ,child of,??????? ,315
297,???????? ,V6,Sidon,-258--258,PRyl 554; Lada E2417,,???????? ,575
298,??????? ,V6,"Tyre,Kition,Salamis",PS5B,FGrH 115 F 103; DS xiv 98. 1; RE (-),,??????? ,905
299,????? ,V6,"Tyre,Demetrias",P3B,(ThessMnem 107); ; BCH 93 (1969) p. 689 no. 1,child of ??????????,????? ,215
303,????? ???????? ,V6,"Sidon,Bingium-Bingen am Rhein",imperial,CIL XIII 7514; (ILS 2571),,????? ???????? ,664
304,??????? ,V6,Zoara,382-382,IPalTertia_Ia 42; ,,??????? ,685
305,????? ,V6,Beth Phouraia--,244-244,"PEuphr 12, 10, 13; ",spouse of ??????,????? ,18
306,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 94b, 3",,???????? ,297
307,????????? ,V6,Banathsamson--,252-252,"PEuphr 9, 1, 8, 29; ",,????????? ,328
308,??????? ,V6,?ab?a,P4A,MSM II 93; ,,??????? ,318
310,????????? ,V6,Muzayr?b,imperial,"IGLS_XIV_1 300, 4",,????????? ,526
312,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 109, 3",,????????? ,588
315,????????? ,V6,Zoara,291-361,IPalTertia_Ia 21; ,child of ??????,????????? ,388
317,?????? ,V6,Tyre,hellenistic,SEG LV 1687.8,,?????? ,127
318,???????????? ,V6,Zoara,325-385,IPalTertia_Ia 48; ,child of ?????,???????????? ,439
319,????????? ,V6,Eboda,P3-4A,"INegev 3, 4; (SEG XXVIII 1371)",,????????? ,398
320,??????????? ,V6,Adraa,imperial,"IGLS_XIV_1 174, 2",,??????????? ,1028
323,????????? ,V6,Zoara,366/7-367/8,IPalTertia_Ia 26; ,child of ??????,????????? ,376
324,????????? ,test,"Phaina,Phaino",-31-310,IGLS_XXI_4 141; ,child of ??????,????????? ,438
326,?????????? ,V6,Zoara,436-436,IPalTertia_Ia 152; ,,?????????? ,1038
328,?????????? ???????? ,V6,Eboda,235-235,"INegev 10, 2; (SEG LVII 1822)",,?????????? ???????? ,1890
329,????????? ,V6,Adraa,imperial,"IGLS_XIV_1 144, 3",,????????? ,988
334,????????? ,V6,Adraa,100-600,IGLS_XXI_5 10; ,,????????? ,354
340,?????????? ,test,Dibon,-31-310,IGLS_XXI_2 183; ,,?????????? ,508
341,?????? ,V6,Adraa,byzantine,IGLS_XIII_2 9738; ,,?????? ,347
342,???????????? ,V6,Adraa,imperial,"IGLS_XIV_1 26, 1",child of ??????,???????????? ,490
344,????? ,V6,Doura-Europos,214-214,PDura 100 xiv 7; PDura 101 xxix 27,,????? ,277
355,????? ???????? ,V6,Habiba,imperial,IGLS_XV_1 82a; ,child of ????????,????? ???????? ,752
365,?????????? ,V6,Zoara,375-425,IPalTertia_Ia 305; ,child of ?????????,?????????? ,602
366,???????????? ,V6,Eboda,P3-4A,"INegev 3, 5; (SEG XXVIII 1371)",,???????????? ,1032
367,??????????? ,V6,Sidon,P3B,"Waddington_ISyrie 1866 c, 3; BE 1977, no. 537",,??????????? ,1190
368,?????? ,V6,Phoenicia,P2-1B,SEG LV 1593.3,,?????? ,677
371,?????????? ??????? ,V6,Bostra,imperial,IGLS_XIII_1 9266; ,,?????????? ??????? ,1407
372,?????????? ,V6,Arka-Kaisareia near Libanon,57-110,"IGLS_VII 4056, 5; ",child of ???????????,?????????? ,997
373,?????????? ,V6,Byblos,-8--7,"FroehnerInscrLouvre 79, 5; (SEG XLVI 1782)",,?????????? ,1057
374,????????? ,V6,Doura-Europos,P3A,SEG VII 733,child of ??????????,????????? ,985
375,??????????? ,V6,Bostra,imperial,IGLS_XIII_2 9576; ,,??????????? ,1049
376,??????????? ,V6,Sidon,P3B,"Waddington_ISyrie 1866 c, 2; BE 1977, no. 537",,??????????? ,1244
377,????????? ,V6,Bostra,imperial,IGLS_XIII_2 9512; ,child of ?????,????????? ,916
378,????????? ,V6,Tyre,41-54,"ITyr_II 377, 2; ",,???????? ,1497
379,????? ,V6,Doura-Europos,223-225,PDura 67 ix 16,,????? ,857
381,??????? ,V6,Doura-Europos,204-204,PDura 100 vii 13,,??????? ,1058
383,?????????? ,V6,Eutimia-al-??rrah,byzantine,"IGLS_XIV.2 494, 1",child of ???????,?????????? ,292
384,????????? ,V6,Doura-Europos,207-207,PDura 100 xxviii 19,,????????? ,245
385,???????? ,V6,Kiboreia-,132-132,"IGLS_XI 4, 5; ",,???????? ,271
386,?????????? ,V6,Beth Phouraia--,245-256,"PEuphr 1, 4; ; PEuphr 3, 3; PEuphr 4, 3; PEuphr 9, 3, 17",,?????????? ,328
387,???????? ,V6,Doura-Europos,207-207,PDura 100 xiii 1,,???????? ,244
392,??????????? ,V6,Nessana--,P6A,"PNess 122, 4",child of ????????,??????????? ,958
393,?????????? ,V6,Doura-Europos,206-206,PDura 100 xxviii 16,,?????????? ,953
396,??????????? ,V6,Sidon,imperial,CumontCatBrux 142; ,,??????????? ,962
397,????????? ,V6,Doura-Europos,203-203,PDura 100 xxvii 14,child of ????????,????????? ,335
398,??????????? ,V6,Doura-Europos,212-212,PDura 100 xxxviii 8; PDura 101 xxxviii 16,child of ???????,??????????? ,412
399,?????? ,V6,Kafr ??t,byzantine,IGLS_II 326,child of ???????,?????? ,122
400,?????? ,V6,Doura-Europos,214-214,PDura 100 xiv 11,child of ?????,?????? ,282
402,????????? ,V6,Diokleion M.,325-325,"IGLS_IV 1409, 3; IGLS_IV 1410, 1; IGLS_IV 1411 c",child of ?????????,????????? ,1014
403,????????? ,V6,Doura-Europos,P1-2A,"SEG VII 712, 10",,????????? ,423
404,?????????? ,V6,Doura-Europos,214-214,PDura 100 xiv 4,child of ???????,?????????? ,484
406,?????????? ,V6,Doura-Europos,251-251,"PDura 97, 8",,?????????? ,491
407,?????????? ,V6,Beth Phouraia--,245-256,"PEuphr 1, 4; ; PEuphr 3, 2; PEuphr 4, 3; PEuphr 9, 3, 17",child of ??????????,?????????? ,1114
409,?????????? ,V6,Doura-Europos,204-204,PDura 100 xxii 12; PDura 101 xvii 19; PDura 102 v 14,,?????????? ,471
410,?????????? ,V6,Doura-Europos,250-256,TEAD 9 (1) p. 212 no. 940 I iii 3,,?????????? ,278
411,???????? ,V6,Soada-Dionysias,imperial,"IMSoueida 94, 1; (Djebel_al_Arab p. 133 no. 7.05)",child of ?????????,???????? ,329
412,??????? ,V6,Rufay‘a,hellenistic,OriensAntiquus 9 (1970) p. 132; (SEG XL 1541); Al_Wohaibi_Golfo_Arabico p. 46,child of ??????,??????? ,58
413,??????? ,V6,Al ‘?n?t,imperial,AAES_III_A 226,,??????? ,290
414,?????????????? ,V6,Doura-Europos,33-34,"SEG VII 353, 2",,?????????????? ,1799
415,?????? ,V6,Rafid-,P5-6A,"&Gregg-Urman_Golan 120, 3; ; SEG LVI 1874",,?????? ,239
416,??????????? ,V6,Tripolis,byzantine,"Renan_Phénicie p. 138 no. 2, 3",,??????????? ,630
417,?????? ,V6,Apheka-,200-699,"Gregg-Urman_Golan 39, 2; ",,?????? ,308
418,????????? ,V6,Doura-Europos,153-153,"TEAD 7/8 p. 168 no. 871, 3",child of ????????,????????? ,396
419,??????? ,V6,Doura-Europos,61-62,"SEG II 791, 1; &SEG VII 800",child of ??????????,??????? ,296
424,???????? ,V6,Iethira--,byzantine,"SEG L 1499, 3; ; (CBCMPIPT 100)",,???????? ,550
425,???????? ,V6,Nessana--,P6A,"PNess 36, 11",child of ???????,???????? ,274
426,??????? ,V6,Doura-Europos,201-201,PDura 100 xxxii 6; PDura 101 xxxii 17,child of ????????,??????? ,272
427,??????? ,V6,Neue,imperial,IGLS_XIV.2 441,,??????? ,33
434,???????? ,V6,Tyre,heroic,FGrH 785 F 1,,???????? ,316
435,?????? ,V6,Diokleion M.,imperial,IGLS_IV 1528c,,?????? ,216
438,?????? ,V6,Doura-Europos,imperial,SEG VII 768,,?????? ,29
439,??????? ,V6,Adraa,imperial,"IGLS_XIV_1 27, 1",child of ?????,??????? ,293
440,?????? ,V6,Doura-Europos,205-208,PDura 101 xliii 5,child of ???????,?????? ,225
442,??????? ,V6,Syria,P4_5A,Thdt +H. +Rel. 26. 4,,??????? ,875
443,??????? ???????? ,V6,Palmyra-Tadmur,150-170,IGLS_XVII.1 532,child of ???????,??????? ???????? ,1507
444,?????? ,V6,"Edessa,Telzeha",313-324,DCB s.v. Habibus (2),,?????? ,285
456,?????????? ,V6,"Emesa,Intercisa-Dunaújváros",201-230,RIU 1184,grandchild of ??????,?????????? ,352
457,??????????? ,V6,Doura-Europos,61-62,SEG II 790; &SEG VII 800,child of ???????????,??????????? ,407
458,????????? ,V6,Rachla-Zenopolis,60-60,"IGLS_XI 20, 3; ",,????????? ,270
459,????????? ,V6,Abila Lysaniou,imperial,"MUSJ 23 (1940) p. 36 no. 2; &SEG XL 1391, 2",,????????? ,277
461,?????????? ,V6,Doura-Europos,204-204,PDura 98 iii 19; PDura 100 vii 14; PDura 101 xii 28,,?????????? ,297
462,???????? ,V6,Doura-Europos,P2_3A,"TEAD 7/8 p. 276 no. 905, 2",,???????? ,235
463,?????????? ,V6,Zoara,452-452,IPalTertia_Ia 191; ,,?????????? ,409
464,????????? ,V6,Doura-Europos,223-225,PDura 67 vii 2,,????????? ,250
465,??????????? ,V6,Yanuh,120-160,IMnBeyrouth 20 a; ,,??????????? ,358
466,????????? ,V6,Berytos,P2-3A,"Waddington_ISyrie 1854d, 1",,????????? ,327
468,??????????? ,V6,Doura-Europos,180-180,"PDura 17c, 22",,??????????? ,361
470,????????? ,V6,Doura-Europos,P2A,"SEG VII 376, 5",,????????? ,302
471,??????????? ,V6,Maqam er-Rabb,163-164,"SEG XIX 881, 5",child of ?????????,??????????? ,381
472,??????? ,V6,Doura-Europos,P1-2A,"SEG II 771, 4; &SEG VII 800",,??????? ,230
473,???????? ,V6,Jerusalem,byzantine,CIIP_I.2 842.15; ,,???????? ,83
474,???????? ,V6,Soada-Dionysias,imperial,"IMSoueida 16, 3; (SEG VII 973)",child of ???????,???????? ,306
475,??????????? ,V6,Qal‘at al Bahrain,PS2B,"SEG XL 1519, 1; (SEG LII 1739)",child of ???????,??????????? ,829
476,?????????? ,V6,Doura-Europos,PF2A,"TEAD 5 p. 151 no. 468, 8",,?????????? ,1337
477,???????? ,V6,Doura-Europos,223-225,PDura 67 v 21,,???????? ,249
485,???????? ,V6,Doura-Europos,204-204,PDura 100 xxxii 37; PDura 101 xxxiii 17,,???????? ,108
486,????????? ,V6,Doura-Europos,imperial,SEG VII 655,,????????? ,556
487,???????? ,V6,Syria,imperial,"Syria 92 (2015) pp. 305-6 no. 8, 1; ",,???????? ,322
488,?????????? ,V6,Doura-Europos,204-204,PDura 98 xi 4; PDura 100 xvii 9; PDura 101 xxii 19,child of ???????,?????????? ,958
491,????????? ,V6,Doura-Europos,223-225,PDura 67 ix 8,child of ????????,????????? ,340
492,????????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 168 no. 499, 3",,????????? ,540
493,??????? ,V6,Doura-Europos,153-153,"TEAD 7/8 p. 168 no. 871, 7",,??????? ,175
494,???????????? ,V6,Doura-Europos,2-3,"SEG VII 352, 3",child of ???????????,???????????? ,488
495,?????????? ,V6,Abila Lysaniou,166-167,"SEG XXXIX 1565, 6",,?????????? ,758
496,??????????? ,V6,Beathagae--,251-251,"PEuphr 8, 1, 9, 30; ",,??????????? ,1212
497,?????????? ,V6,Doura-Europos,214-214,PDura 101 xl 31,child of ????????,?????????? ,489
499,?????????? ,V6,Doura-Europos,204-204,PDura 98 i 17,child of ????????,?????????? ,476
501,?????????? ,V6,Doura-Europos,P2A,"SEG VII 376, 13",,?????????? ,545
502,????????? ,V6,Doura-Europos,P2A,"SEG VII 374, 5",,????????? ,475
503,???????? ,V6,Doura-Europos,201-201,PDura 100 xxxix 19; PDura 101 xxxix 22,,???????? ,1087
505,??????? ,V6,Doura-Europos,imperial,SEG VII 771,,??????? ,321
506,??????? ,V6,Magdala--,243-243,"PEuphr 5, 5; ",,??????? ,245
507,???????? ????????? ,V6,Anasartha-Theodoroupolis,byzantine,IGLS_II 292,=? ?????????,???????? ????????? ,942
508,??????? ,V6,"Hermel,",imperial,"IMnBeyrouth 345, 1; (Hajjar 143)",,??????? ,301
514,????????? ,V6,Doura-Europos,249-250,"TEAD 9 (3) p. 55 no. 962, 3",,????????? ,394
515,???? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 110; ,,???? ,213
516,?????????? ,V6,Magloula,167-167,"Mitt_Sem_orient_Sprachen 1 (1898) Abt. 2, p. 147 no. 4; ",child of ?????,?????????? ,1145
517,?????????? ,V6,Palmyra-Tadmur,225-275,IGLS_XVII.1 519; ,child of ??????,?????????? ,466
518,??????? ,V6,"Syria,Egypt (Arsinoites)-Fayum-",-238--237,PPetr2 I 13; Lada E2485,,??????? ,254
519,???????? ,V6,Doura-Europos,imperial,"TEAD 5 p. 146 no. 454, 21",,???????? ,531
520,?????? ,V6,Bostra,imperial,IGLS_XIII_2 9591; ,,?????? ,483
521,????????? ,V6,Ossa,PS2A,"PDura 31, 29",,????????? ,694
527,???????? ,V6,Doura-Europos,P2A,"SEG VII 461, 5",,???????? ,688
528,??????? ,V6,Rachla-Zenopolis,269-269,"IGLS_XI 23, 4; ",child of ?????????,??????? ,621
529,???????? ,V6,Raphia,348-411,CIIP_III 2564; ,child of ????????,???????? ,316
530,??????? ,V6,Paliga,P1_2A,"PDura 20, 5",,??????? ,314
532,????? ,V6,Nessana--,569-569,"PNess 24, 7",child of ???????,????? ,303
533,??????????? ,V6,Bostra,151-200,IGLS_XIII_1 9084; ,child of ?????????,??????????? ,1056
534,??????? ,V6,Al Lis?n,P4-5A,SEG LVII 1864.1; &SEG LXI 1479 A,,??????? ,1087
535,??????? ,V6,Elousa,599-599,"IPalTertia_west 59, 3",,??????? ,401
536,?????????? ,V6,?amm?,500-600,IGLS_XIII_2 9843; ,=? ??????????,?????????? ,1265
537,?????? ,V6,Sidon,imperial,"Mém._Soc._Cannes 7 (1877-1878) p. 102 no. 9, 1",,?????? ,184
538,???? ,V6,Doura-Europos,imperial,"TEAD 5 p. 155 no. 473, 1",,???? ,273
539,?????? ,V6,Nessana--,624-624,"Nessana I p. 169 no. 81, 2; (SEG VIII 311)",child of ???????,?????? ,483
540,????? ,V6,Umm al Jim?l,100-600,IGLS_XXI_5 179; ,,????? ,475
541,???????? ,V6,Adraa,imperial,"IGLS_XIV_1 28, 1",,???????? ,493
544,??????????? ,V6,Arabia,570-634,PLRE III (-),,??????????? ,1447
545,?????????? ,V6,Maqam er-Rabb,163-164,"SEG XIX 881, 6",child of ???????,?????????? ,832
547,????????? ,V6,Karmiel--,P6A,"SEG XLV 1952, 2; ; (CBCMPIPT 228)",,????????? ,792
549,???????????? ,V6,Nessana--,548-548,"PNess 19 recto 6, 10",child of ????????,???????????? ,931
554,??????????? ,V6,Nessana--,P6-7A,"PNess 106, 11",,??????????? ,930
555,???????? ,V6,Doura-Europos,74-74,"SEG VII 354, 5",,???????? ,563
556,?????????? ,V6,Doura-Europos,PF1A,"TEAD 5 p. 184 no. 517, 3",,?????????? ,833
557,?????? ,V6,Doura-Europos,54-54,"TEAD 5 p. 114 no. 418, 9",child of ???????????,?????? ,683
559,????????? ,V6,Sam? as Sir??n,100-600,IGLS_XXI_5 30; ,,????????? ,803
560,??????? ,V6,Agraina,230-232,IGLS_XV_1 275; ; IGLS_XV_1 276,child of ????????,??????? ,793
561,???????? ,V6,Emesa,imperial,IGLS_V 2594,,???????? ,591
