,Name ,Vol. ,Place ,Date ,Reference ,Relationships ,Uncial,Isopsephy
6483,???????? ,V6,Charakmoba,byzantine,IMoab 46; ,,???????? ,1382
6484,??????? ,V6,Apameia,500-500,SEG LIV 1807A,,??????? ,363
6485,????? ,V6,Doura-Europos,235-240,"SEG VII 381, 3; SEG VII 382, 4",child of ??????????,????? ,90
6486,??????? ,V6,Persia--,550-594,PLRE III (-),child of ?????????,??????? ,344
6487,???????? ,V6,Jerusalem,-100-100,CIIP_I.1 419; ,child of ??????,???????? ,173
6488,?????????? ,V6,Bostra,imperial,IGLS_XIII_1 9394; ,,?????????? ,420
6489,??????? ,V6,Elousa,byzantine,SEG XLVI 1848,,??????? ,422
6490,????? ,V6,Selaima,imperial,MSM II 13; ,,????? ,382
6491,??????? ,V6,Jeb?b,byzantine,IGLS_XIV.2 590,,??????? ,553
6492,???????? ,V6,Nessana--,byzantine,"Nessana I p. 156 no. 52b, 4",,???????? ,1203
6493,???????? ,V6,W?d? ?ajj?j,byzantine,IWadi_Haggag 110; ,child of ???????,???????? ,693
6494,???? ,V6,"Antioch,Egypt",P2_1B,IFayoum 135,,???? ,862
6495,??????? ,V6,Aire,P5-6A,IGLS_XIV.2 562a,,??????? ,413
6496,?????? ,V6,Persia--,P5_6A,Procop i 5. 2; i 6. 17,sibling of ???????,?????? ,441
6497,??????? ,V6,W?d? ?ajj?j,byzantine,SEG XXXI 1421; ,,??????? ,513
6498,????????? ,V6,Persia--,541-542,PLRE III (-),,????????? ,1089
6499,????? ,V6,Soada-Dionysias,imperial,IMSoueida 76; (Djebel_al_Arab p. 134 no. 7.09),child of ??????,????? ,85
6500,??????? ,V6,Al ‘Anz,208-209,MSM II 110; ,,??????? ,355
6501,??????? ,V6,Al Gh?riyah,imperial,AAES_III_A 199,child of ???????,??????? ,393
6502,?????? ,V6,Doura-Europos,imperial,"SEG VII 481, 3",,?????? ,373
6503,??????? ,V6,Adraa,imperial,IGLS_XIII_2 9908; ,,??????? ,350
6504,???????? ,V6,Palmyra-Tadmur,imperial,IGLS_XVII.1 538; ,child of ?????????,???????? ,434
6506,???????? ,V6,Selaima,imperial,"IMSoueida 185, 1; ",child of ?????,???????? ,407
6507,??????? ,V6,Berroka,154-155,MSM II 51; ,,??????? ,451
6508,????? ,V6,Doura-Europos,204-204,PDura 100 xxxv 7; PDura 101 xxxv 11,,????? ,284
6509,???????? ,V6,Bostra,imperial,IGLS_XIII_1 9004; &SEG XXXVIII 1650,,???????? ,916
6510,??????? ??????? ,V6,?ibr?n,imperial,"IMSoueida 179, 5; ",,??????? ??????? ,2027
